source_file,treex_mean_iou,treex_mean_precision,treex_mean_recall,treex_detection_rate,RayExtract_mean_iou,RayExtract_mean_precision,RayExtract_mean_recall,RayExtract_detection_rate,TreeLearn_mean_iou,TreeLearn_mean_precision,TreeLearn_mean_recall,TreeLearn_detection_rate,TreeAIBox_mean_iou,TreeAIBox_mean_precision,TreeAIBox_mean_recall,TreeAIBox_detection_rate,SegmentAnyTree_mean_iou,SegmentAnyTree_mean_precision,SegmentAnyTree_mean_recall,SegmentAnyTree_detection_rate,ForestFormer3D_mean_iou,ForestFormer3D_mean_precision,ForestFormer3D_mean_recall,ForestFormer3D_detection_rate
Rem_Herby_2016_2202806.laz,0.8510498755651885,0.944545061026014,0.9610406140062144,0.9333333333333332,0.9447566071388824,0.9666306515088264,0.9764378495656127,1.0,0.7593052012872776,0.8744602256951236,0.8275122725959237,0.8666666666666667,0.9782013322687856,0.9798326205976104,0.9982871407901044,1.0,0.952350180356988,0.9789145090661728,0.9727149698332912,1.0,0.9632206790703028,0.9805815154993356,0.9818949402715096,1.0
Rem_Piensk_2016_2404602.laz,0.8595284782446269,0.9047249535230512,0.9482870024523284,1.0,0.9192779722951336,0.9602357264985554,0.9551929528289644,1.0,0.946203992623265,0.9509874091889028,0.9947580375531812,1.0,0.935435267816869,0.9483125552321858,0.9860716984229874,1.0,0.9207008683387836,0.95793163119554,0.9547057363208256,0.9523809523809524,0.9131273363061244,0.9265999601538067,0.9389608657020064,0.9523809523809524
Rem_Piensk_2016_2401002.laz,0.8586581605155251,0.9099486513247323,0.9640822941471254,0.9487179487179488,0.8608097457640398,0.9746647700648444,0.8816866286417956,1.0,0.9280819085433978,0.9335980577657564,0.9929627268122776,0.9743589743589745,0.9308413414213744,0.938765236616857,0.9915969403128092,1.0,0.8922383742104034,0.9279212622735444,0.962970584636104,0.9230769230769232,0.9270477951941662,0.9664035475525152,0.9839900736102052,0.9743589743589745
Rem_Piensk_2016_3102202.laz,0.8265191214062636,0.8970275347834301,0.9618892869996688,0.9545454545454546,0.8584922069217218,0.9070681296421038,0.943287388873698,1.0,0.880270352871761,0.9283922530997852,0.9921984390912002,0.9545454545454546,0.92814103551517,0.9427456732819725,0.9827915868306156,1.0,0.905758387116754,0.935437078099116,0.9666795937564282,1.0,0.92037977040053,0.9412551696023012,0.976291382693504,1.0
Rem_Gorlice_2015_6905203.laz,0.7923990785877612,0.9422434303868809,0.9792731892353884,0.8571428571428571,0.8782607152623993,0.950739267763501,0.9239519500022932,1.0,0.7512639406593324,0.8880535367870798,0.9866665419585646,0.8571428571428571,0.7992603654374305,0.9078625522921594,0.8876961261128395,0.8571428571428571,0.9612992861240132,0.976917473800971,0.9835806419242196,1.0,0.9389508489389602,0.9786898654986612,0.9570700048932864,1.0
Rem_Gorlice_2015_5705203.laz,0.7505328329837352,0.8488652715564082,0.9923974720202212,0.8888888888888888,0.9217371600018508,0.9670327054207604,0.9521818174188736,1.0,0.8854783917646079,0.947806795180315,0.9365164369831214,1.0,0.9238590428509412,0.9524881877479257,0.9702973622501224,1.0,0.8986513464126404,0.9612258371801764,0.9346474839503895,1.0,0.8109010405670607,0.9830213274907574,0.9283806452995856,0.8888888888888888
Rem_Herby_2016_2102406.laz,0.7529626509161504,0.8687194839713693,0.9332637717276286,0.8888888888888888,0.862712167955587,0.9104832422517588,0.9421997385819464,0.9629629629629628,0.9145293396080209,0.9338168661755436,0.9794710048067922,1.0,0.8949073632746344,0.9136302144430436,0.9679974425634772,0.9629629629629628,0.9343079682098412,0.9624270946923476,0.9697349354176568,1.0,0.9337572797506803,0.9597367885067328,0.9711368676196512,1.0
Rem_Herby_2016_0702506.laz,0.727131265288273,0.8328263518061003,0.9332327369651926,0.8484848484848485,0.879591765810427,0.919660006390596,0.953768339209324,0.9090909090909092,0.8611477771985614,0.8963444571349755,0.9888615645550534,0.9393939393939394,0.883778703293224,0.8950885398978191,0.9856655061905392,0.9696969696969696,0.9355520639472706,0.955366715150836,0.978618409111922,1.0,0.9086869427416332,0.9581663892646752,0.9774428634669118,0.9696969696969696
Rem_Piensk_2016_1702302.laz,0.8214033053586991,0.911373887566232,0.9545773365868424,0.8648648648648649,0.8585844949610973,0.9140474014207436,0.9407902196041884,0.918918918918919,0.8462560829962416,0.8921951481716037,0.9543581735132316,0.9210526315789472,0.8509054034823105,0.9020233824005088,0.9705985418677376,0.9473684210526316,0.8859679503159897,0.9521642329257284,0.9552957104360618,0.9473684210526316,0.889764159772065,0.9552828788722644,0.9823406611391168,0.9473684210526316
Rem_Piensk_2016_1601102.laz,0.7878623827436907,0.8631890799706187,0.9539282790490526,0.9166666666666666,0.7643818304513442,0.9423159560673994,0.803326928680903,0.9166666666666666,0.9236263059494044,0.9391029882341848,0.9841313534631696,1.0,0.9080935346657034,0.9250833041207462,0.9822601022758306,1.0,0.9311785530073488,0.953521625795492,0.97674608757066,1.0,0.890296311129844,0.9453123522259692,0.9819827963189908,0.9583333333333334
Rem_Piensk_2016_1700702.laz,0.7910846948821733,0.8846395032427508,0.8925462564988562,0.9565217391304348,0.8443931321243818,0.9493850374078242,0.8880912248394486,0.9782608695652174,0.8832683761582245,0.921867606694082,0.95352620618011,0.9782608695652174,0.906864784906658,0.9244683050504328,0.98021716194617,1.0,0.9070041447997774,0.9575276529390568,0.967732755440355,0.9782608695652174,0.9184383773785836,0.9601359804805374,0.9767870861385136,0.9782608695652174
Rem_Milicz_2015_2506201.laz,0.7699861978801308,0.879500784634194,0.8816125210480605,0.9444444444444444,0.7737376470737707,0.9149839867850944,0.8201644185064715,0.9166666666666666,0.9097583094367894,0.9263660744554848,0.9812072270777668,1.0,0.9207454021420808,0.937787421585476,0.981587891208904,1.0,0.9497319530679448,0.9709662531502208,0.9774938028052876,1.0,0.9208775526541848,0.9688878093912296,0.9770666947753992,0.9722222222222222
Rem_Herby_2016_1702406.laz,0.8458977466523038,0.910871578450932,0.9311408768880192,0.95,0.8607966111806163,0.9290192828393912,0.9279591206429666,0.95,0.869471619340372,0.9068030970627078,0.9364806768527842,0.925,0.9019754880583032,0.938023313596244,0.9616312404635448,0.975,0.8818613819231024,0.9413590388266336,0.9432265655812452,0.95,0.8870683854804051,0.9576008484255022,0.9497774771047424,0.95
Rem_Milicz_2015_2204901.laz,0.7966389846040969,0.8895157315447785,0.916771300658368,0.9473684210526316,0.8405375746673598,0.9356113007729367,0.8979113500733822,0.9473684210526316,0.8902191965881956,0.916756010759084,0.970401795953264,0.9736842105263158,0.8874096131152562,0.9067077843444648,0.9769342220998836,0.9736842105263158,0.9280197977521804,0.9509854081800356,0.9753908074963504,1.0,0.9022243084589888,0.9253039837704314,0.948507343840435,0.9736842105263158
Rem_Gorlice_2015_5905203.laz,0.6458550899027355,0.8925491125562517,0.9642533826596296,0.75,0.8583262551634129,0.8837945188975247,0.9685391926871194,1.0,0.8396378436662162,0.8487021130925156,0.9866574004744862,1.0,0.8235488178833329,0.8297638028234,0.9888906564360987,1.0,0.912990620413013,0.9194779717926898,0.9930756183725707,1.0,0.9582112512330688,0.9730539617510764,0.9845458327396824,1.0
Rem_Piensk_2016_1902802.laz,0.7712140491919731,0.8943553133008746,0.9604062548723924,0.8793103448275862,0.8744592943427008,0.9188448539818572,0.9511776692665964,0.9655172413793104,0.8306522498005899,0.8985995658884457,0.9515856899732807,0.9310344827586208,0.8558183996762568,0.9052955026755948,0.9463982675574568,0.9482758620689656,0.8833668317730836,0.914891960566848,0.9634667769711442,0.9482758620689656,0.902549953315881,0.9450869233638683,0.9707222938567948,0.9655172413793104
Rem_Herby_2017_1102006.laz,0.8151671061938252,0.8734500630428407,0.948183671387088,0.9117647058823528,0.8458121962796352,0.9059615573487716,0.9328204947064288,0.9705882352941176,0.8319379525602857,0.9156763421662528,0.9620495557056332,0.8823529411764706,0.8427784213350498,0.9001965222881496,0.9630260444381836,0.9411764705882352,0.8801459950569025,0.937910888122744,0.9671823128746668,0.9705882352941176,0.8696299330124293,0.9365027266417498,0.9407226904123572,0.9411764705882352
Rem_Milicz_2015_4302601.laz,0.8128344034412703,0.9103748918130964,0.8957353098481738,0.92,0.7632387370984866,0.9375347063235284,0.8127192841214772,0.8,0.8698060134779816,0.9112446296365349,0.9517034164823556,0.96,0.8552562050477968,0.8800297441908582,0.9738488270483342,1.0,0.9606087693867073,0.9722193732084272,0.9880581287690224,1.0,0.9203282934577344,0.966185115131346,0.991916395325126,0.96
Rem_Herby_2017_2503606.laz,0.8912033913518128,0.927330236279118,0.98099523173669,0.9787234042553192,0.8609725824778545,0.927202044470184,0.9255524296725016,1.0,0.8278872177988341,0.8763437033453898,0.9529971891121723,0.9166666666666666,0.823097616294418,0.889666959968369,0.9609865047473,0.9583333333333334,0.7783163054742359,0.8867929339563414,0.949896840245799,0.875,0.8757190596265124,0.9291373197959972,0.9434242199082749,0.9583333333333334
Rem_Piensk_2016_3203502.laz,0.7992538907343695,0.8594942058750443,0.967452499363619,0.9166666666666666,0.8489080060390113,0.8848149315066064,0.9538120507566772,0.9583333333333334,0.8760805960176605,0.8919096752034043,0.982627333893685,1.0,0.8447516050200624,0.8873214549628878,0.9492011671740362,1.0,0.9008644927274796,0.9293256727394438,0.9677063166606718,1.0,0.9115171089767974,0.9295088154522384,0.9801081548927696,1.0
Rem_Herby_2016_2502406.laz,0.7995178874863264,0.8969119668660293,0.934799011050257,0.9545454545454546,0.8673173674824386,0.91295818632922,0.946589711244744,1.0,0.7119731348627124,0.8869754965401867,0.9770811075211842,0.8181818181818182,0.7497156059767787,0.9019297237925168,0.919647490409454,0.8181818181818182,0.8826586205368083,0.9405748948127856,0.9326150491465328,0.9545454545454546,0.8659742765514973,0.9422136388371064,0.9614482460512483,0.9545454545454546
Rem_Piensk_2016_1602102.laz,0.7627328205889947,0.8783141005209737,0.913534818695928,0.9166666666666666,0.8307275204754943,0.9360473573567436,0.8863360399737223,1.0,0.8523839108976835,0.8940202302589318,0.9478441236204218,0.9722222222222222,0.8852686941434854,0.9155743862170732,0.9658893795632012,0.9722222222222222,0.8357529541700823,0.9178156120991116,0.9627669464324284,0.9444444444444444,0.8992216578131657,0.9465560195256044,0.9487645925862532,0.9722222222222222
Rem_Piensk_2016_2802402.laz,0.787318211500956,0.8847422445793447,0.9202188823566048,0.9230769230769232,0.8129770540974068,0.9102761119067778,0.8902069760054497,0.9230769230769232,0.8223931309320989,0.9274932884243312,0.9586349537312776,0.8846153846153846,0.7891988445710418,0.8871126256086822,0.923777932714198,0.8461538461538461,0.9082543084697184,0.9331500797833971,0.9626953277788022,0.9615384615384616,0.8959789802717508,0.9442905794668528,0.9835347848862864,0.9230769230769232
Rem_Gorlice_2015_6204103.laz,0.7719368617465466,0.8960554776717657,0.9627491774275896,0.8421052631578947,0.8829642795351105,0.9092279625076988,0.9692156567618896,1.0,0.7128209875947025,0.8073914502509915,0.8725515741454485,0.7894736842105263,0.8771136299467642,0.9003483460036015,0.9708190064957172,1.0,0.9095522699031968,0.9471282269284216,0.9599174424513282,1.0,0.8823538592546397,0.9231576475085292,0.957281450552262,1.0
Rem_Herby_2016_5901206.laz,0.7641601150806464,0.8616971696356787,0.9070765623164,0.9411764705882352,0.7495025813195242,0.9177903901964224,0.8108079821778881,0.9705882352941176,0.8595634319449409,0.8960184945776445,0.9859980371919456,0.9705882352941176,0.8709425188298825,0.9129062297851068,0.9826277868329544,0.9705882352941176,0.8875668624489563,0.933192233615931,0.9778338459096756,0.9705882352941176,0.8544651655170761,0.9211473669175368,0.9574766915038506,0.9117647058823528
Rem_Herby_2017_4102706.laz,0.7849778643507148,0.8352444419434816,0.9532312270569716,0.902439024390244,0.8507154346262883,0.8958134910754951,0.9439001380104868,0.975609756097561,0.8635507615260031,0.9020002827487908,0.9788687559478568,0.975609756097561,0.856655250299031,0.9015460275867576,0.9419092859454632,0.951219512195122,0.8751286818408507,0.91182860886723,0.9370125615580396,0.975609756097561,0.8874569727104653,0.9131445782826352,0.9509353320373256,0.975609756097561
Rem_Piensk_2016_3100602.laz,0.783717848631004,0.8580730038476412,0.9173043967355948,0.9558823529411764,0.8348179004379334,0.8895428655326367,0.934087132429246,1.0,0.8630444738382437,0.8893598221054706,0.9670944452257711,1.0,0.855072509385534,0.8886263639461632,0.9618324801875776,0.9852941176470588,0.8700003382110362,0.910309670378456,0.9682231449601738,0.9852941176470588,0.8862896500697203,0.9179168553816296,0.9635465666337294,1.0
Rem_Katrynka_2016_6302005.laz,0.8113416441420268,0.8616143903469686,0.9699339111962372,0.9411764705882352,0.7918142550992959,0.923189302814833,0.8479532050235815,0.9117647058823528,0.7746072557665634,0.8904241156633731,0.9137611064081048,0.8235294117647058,0.8668707568494712,0.90527724030659,0.956506681632226,0.9705882352941176,0.7932741247841509,0.9047438480323732,0.9925843653696405,0.8529411764705882,0.8615449106692854,0.9288583754076264,0.95715562860798,0.9117647058823528
Rem_Piensk_2016_2502602.laz,0.7922670221838597,0.8777659143154475,0.967478337487072,0.8813559322033898,0.8282447137833596,0.8786634496399733,0.9252352488155028,0.9491525423728814,0.7510019587826678,0.8559190212693453,0.9143931058012128,0.85,0.8257196001067837,0.8913476356200732,0.9427414549981088,0.9166666666666666,0.8137831053923068,0.9241244096087642,0.9598552550652782,0.8833333333333333,0.8414496023022761,0.9276205798296157,0.9673036079601394,0.9166666666666666
Rem_Herby_2017_3601406.laz,0.8467062575994627,0.9129681597333236,0.9636602513651223,0.92,0.7851984488961334,0.8761682799812281,0.8878350355754965,0.84,0.8153396340775714,0.9269029147664062,0.9518746182082226,0.92,0.8293513949568225,0.8849702739953313,0.9304284818923192,0.88,0.8462877927509177,0.924136128726338,0.9108085906103588,0.88,0.8589258187024087,0.9366203989446872,0.9162421847095992,0.92
Rem_Milicz_2015_4307201.laz,0.777631664193864,0.8757582940911603,0.9075711294457932,0.8478260869565217,0.7528456669654529,0.899587100427065,0.8138940257611328,0.8478260869565217,0.8527824990925115,0.907133387808978,0.982946356530868,0.9565217391304348,0.8287707389954285,0.8883825591442149,0.9547236768109284,0.9347826086956522,0.8429131445103353,0.9359927015205096,0.9402604891464996,0.9347826086956522,0.868423338307618,0.9600154047403272,0.943465927278332,0.9347826086956522
Rem_Piensk_2016_2504302.laz,0.6172855045320372,0.8403557173289423,0.914433638885582,0.7222222222222222,0.8234003567003859,0.8878432291165707,0.9076437028961076,0.9629629629629628,0.765677753617121,0.8946524030070997,0.904862388825714,0.8148148148148148,0.8723842302826733,0.9246666758890374,0.9603765886493558,0.9629629629629628,0.8715807427560686,0.9158650269976214,0.9275354420853382,0.9629629629629628,0.8822869345004499,0.9153903172006934,0.9273480159513264,0.9629629629629628
Rem_Piensk_2016_1802502.laz,0.6773174560983094,0.8309862977611998,0.9127706954453088,0.7719298245614035,0.7213161147910254,0.8439042139099054,0.8557893907794453,0.8245614035087719,0.829931157037363,0.9111532553143884,0.9593250902552354,0.9298245614035088,0.8254639368964554,0.9003434659312387,0.9638210651131596,0.8947368421052632,0.9004376622748809,0.9495002171292508,0.9635065433871908,0.9824561403508772,0.879104330531844,0.9369733379739188,0.9382994066876906,0.9649122807017544
Rem_Milicz_2015_3404601.laz,0.7291714414822127,0.8233689148352785,0.8947205198735266,0.7837837837837838,0.7332751549268967,0.8352082629647095,0.8443995377123441,0.8378378378378378,0.8845222627154581,0.9064959617135744,0.975175065601086,1.0,0.8663377168051857,0.879788763428197,0.9843708967721512,1.0,0.9132333121992712,0.9351130760823844,0.975999629618823,1.0,0.9040504018234384,0.9323360619491876,0.9687063476187132,1.0
Rem_Piensk_2016_3103402.laz,0.7713077429155383,0.8407790259039879,0.9344762094438148,0.9361702127659576,0.8148385063396165,0.8694082042938518,0.931387630709236,0.9787234042553192,0.8692366500879194,0.8899951920004604,0.9741931490370624,1.0,0.847770247965237,0.8743472472772206,0.9657810677263428,1.0,0.865985109315982,0.896237501115783,0.9632911279611478,1.0,0.8541277005803986,0.8839677135863784,0.9436336899327494,0.9787234042553192
Rem_Piensk_2016_0601402.laz,0.663268380511275,0.7870066398247292,0.8925326227005931,0.8333333333333334,0.8031809528673517,0.8670385612358478,0.9203315143187116,0.9666666666666668,0.8694653861259504,0.8915811621000368,0.9750875101936024,1.0,0.8619405234346605,0.8980661675940554,0.9570359200314004,1.0,0.8615668896754385,0.9249208554797352,0.9625695215997504,0.9666666666666668,0.8821983321078677,0.9104937973467584,0.9394806074340494,0.9666666666666668
Rem_Katrynka_2016_4301405.laz,0.6988079503281274,0.8285865804996202,0.9082145991589644,0.7857142857142857,0.6733566190389054,0.933834948689395,0.7052047556610851,0.8571428571428571,0.8110795766343257,0.9009595700859336,0.9638799422641282,0.9285714285714286,0.8986630783729151,0.9116450103436964,0.98539811469211,1.0,0.8920187572003765,0.9528826501046892,0.9339888331507824,0.9285714285714286,0.9303669233409398,0.9586087798516576,0.9696500058601106,1.0
Rem_Piensk_2016_1301202.laz,0.7052647395643383,0.8629816756070331,0.8887950718373799,0.8043478260869565,0.7539110341422962,0.8977892518775046,0.8365914337258277,0.8913043478260869,0.7721050815860133,0.901626998396294,0.9560843702354224,0.8695652173913043,0.7907902713449336,0.8980176382283601,0.9415287362120012,0.8913043478260869,0.8392931576365783,0.9219525809073011,0.9187396122302344,0.9347826086956522,0.8604877526672393,0.9307652358807942,0.9645905028848724,0.9565217391304348
Rem_Herby_2016_2302606.laz,0.7768795738038407,0.8311139587052173,0.8673703561011101,0.9166666666666666,0.8403378668845093,0.8959010065372818,0.9096703391705304,0.9583333333333334,0.8342791097826208,0.8906329812681254,0.9343718833381216,0.875,0.8518895353382826,0.8989546552847291,0.9447222023892944,0.9583333333333334,0.8793155968658121,0.9195259092506398,0.95062177188221,0.9583333333333334,0.838380335120676,0.8887906945633485,0.9091000022148368,0.9166666666666666
Rem_Herby_2016_6606306.laz,0.7627622461406024,0.844881627732295,0.9186007904761307,0.9111111111111112,0.7242120270239281,0.9147284888338671,0.7822875652806967,0.9111111111111112,0.8495969678130193,0.8891333557450768,0.97572623806243,0.9777777777777776,0.8361139777626525,0.8767338964198096,0.9730903447539618,0.9777777777777776,0.8586024416304259,0.8998538142352062,0.9724637044190462,0.9777777777777776,0.8662552196142835,0.9097781364594102,0.9713298895405434,0.9777777777777776
Rem_Katrynka_2016_5902605.laz,0.6691767422601718,0.7541496137634812,0.933908509814496,0.8235294117647058,0.715358742884086,0.8822949537176598,0.7940111560866703,0.8235294117647058,0.8818848355315823,0.9013742037862532,0.9767631699380652,1.0,0.8674361142917657,0.8880929447832511,0.9766895866949792,1.0,0.8855859343988342,0.9224468215601545,0.9594915548850408,1.0,0.926968776146645,0.9531233352016276,0.9712284679038824,1.0
Rem_Herby_2016_6508806.laz,0.67001999987326,0.785745718550248,0.8695864268222298,0.7631578947368421,0.7164192012797631,0.923950347560212,0.7697062132257603,0.9210526315789472,0.8503343461540821,0.8880588637350376,0.9772019588391396,0.9473684210526316,0.853948908125811,0.8885179518655321,0.9607088351936072,0.9473684210526316,0.9032603291210228,0.9229512589917362,0.9745668001694864,0.9736842105263158,0.8932974905602173,0.9339339781421896,0.981853506958138,0.9473684210526316
Rem_Herby_2016_2003206.laz,0.744970628516158,0.8167952581378282,0.9215088347391353,0.8918918918918919,0.8241940673531672,0.8692936672894312,0.9291849457323946,0.945945945945946,0.8159677566803576,0.8568589110678487,0.953659850786117,0.9054054054054054,0.8392914576611471,0.8624662553319973,0.96874524957875,0.9324324324324323,0.8498544772819054,0.892469313334227,0.9595581961723848,0.945945945945946,0.8484620522589226,0.8939463979501211,0.9435338677337466,0.9594594594594594
Rem_Herby_2016_6505806.laz,0.7005910855027486,0.8006874658115593,0.8938988330270541,0.8846153846153846,0.7455392500124378,0.9069062151741996,0.8101228304947465,0.9230769230769232,0.843127440807544,0.8750674803800675,0.961116341330722,0.9615384615384616,0.8566653946618421,0.8734498366669503,0.978650142795604,1.0,0.8564835187058559,0.9122974546749332,0.9738258399161258,0.9230769230769232,0.8714135395419478,0.9221756349313662,0.9812533234511168,0.9615384615384616
Rem_Piensk_2016_1401302.laz,0.7528463913667882,0.8515725926121602,0.9062473659462014,0.875,0.7832071572239776,0.875798334343228,0.8770403258901887,0.9204545454545454,0.767917398557499,0.832355340459905,0.91359751250381,0.8876404494382022,0.8607136135120718,0.8951706833491069,0.9711855035224668,0.9775280898876404,0.8449310646227475,0.8968941259869468,0.9731504000418488,0.9662921348314608,0.8560071432969515,0.894391383631636,0.9545984216717968,0.9775280898876404
Rem_Piensk_2016_2604602.laz,0.6641118132323774,0.7961186715599682,0.9505506014060316,0.7428571428571429,0.7982640033668426,0.8566050257321388,0.9000925776258386,0.8857142857142857,0.8473079802574149,0.8817971753068589,0.9481479303125164,0.9714285714285714,0.8133434513991249,0.8523870918325921,0.9433956775083636,0.9428571428571428,0.8117644701793862,0.8852645062725016,0.9681879332886144,0.8857142857142857,0.8404554646167571,0.8913104342331998,0.9432230858428722,0.9428571428571428
Rem_Herby_2016_6706006.laz,0.7487509891553784,0.8116116280109467,0.9137074308406878,0.9285714285714286,0.7184067904937621,0.9149017104633748,0.7735979345226657,0.9642857142857144,0.8343168693159069,0.8600267389839777,0.960341424838057,0.9642857142857144,0.8384500724463579,0.8696575244594286,0.9649374035825424,1.0,0.9110065611391976,0.9505016047779548,0.9573802568193176,1.0,0.8733689512319748,0.9410083016392394,0.960090933666523,0.9642857142857144
Rem_Piensk_2016_3100502.laz,0.748822260888136,0.8142972149719491,0.93664641601718,0.9285714285714286,0.8153008674931181,0.863917323902121,0.9369899349584614,0.988095238095238,0.7813807666997686,0.8450644776143756,0.9151504485826086,0.9166666666666666,0.854059316540115,0.8824728140265289,0.96523650329528,0.988095238095238,0.8081978197205915,0.8692252482648173,0.949788916278588,0.9523809523809524,0.8689793137959864,0.9023382721131464,0.9727717972559724,0.9761904761904762
Rem_Herby_2016_5000506.laz,0.7045140047407961,0.7868816211371845,0.9162275166978644,0.8214285714285714,0.6306922544586399,0.8905617130625822,0.6903050607605438,0.75,0.789023138521217,0.9024753991962412,0.9780977636174624,0.8928571428571429,0.8784935175119084,0.8989088640137914,0.97602997763205,1.0,0.9032017110621506,0.933035140241856,0.9666150195325022,1.0,0.8783751476693249,0.937647191790225,0.9709562234110328,0.9642857142857144
Rem_Piensk_2016_3203002.laz,0.6885068676296702,0.8029498675848338,0.9613788587682442,0.8260869565217391,0.7869410838782139,0.8560430470407681,0.9206629533962966,0.8913043478260869,0.7952981703496839,0.8651435686170257,0.9600896591087787,0.9130434782608696,0.7807570838655365,0.8220715978151943,0.9451018927188573,0.8695652173913043,0.8843328043729298,0.9008056387658824,0.9814207906366464,0.9782608695652174,0.8400744620241027,0.8911209634970884,0.9641731722177094,0.9347826086956522
Rem_Piensk_2016_2700402.laz,0.7439351539513038,0.8093751624379442,0.9296356058141028,0.8823529411764706,0.7444165547698405,0.8052563533620223,0.905679812276754,0.8588235294117647,0.7917724621351792,0.8483690592486258,0.9378031072740154,0.8823529411764706,0.8157326821736868,0.8781750387230797,0.970786286946909,0.9411764705882352,0.805851704017192,0.8551464016274753,0.9422082748678982,0.9176470588235294,0.8955115482264461,0.9155778054519176,0.9765039254805242,0.9882352941176472
Rem_Piensk_2016_2202902.laz,0.7102759069054807,0.8116089996065824,0.9467897789681676,0.8,0.7668129426695655,0.8179636807753298,0.8933614560224592,0.84,0.8226014583658349,0.8602011266342242,0.920073380716045,0.92,0.8647735056920769,0.8971508964127868,0.9253904753283836,0.96,0.7813778798605984,0.822370916800613,0.8723529196430155,0.88,0.9039133228473984,0.9300892713689716,0.9383026918700572,0.96
Rem_Herby_2017_2803006.laz,0.6295936676805679,0.8078042455607595,0.7862099028812191,0.7352941176470589,0.7279237085631126,0.870096888973359,0.8125997406923785,0.7941176470588235,0.7171309171276451,0.9021002769308232,0.9306924107535116,0.8529411764705882,0.7984423998607905,0.9333776444483272,0.9356730317058266,0.8823529411764706,0.8388569413676191,0.909822673160938,0.9460675816285964,0.9705882352941176,0.878943127047047,0.9450454619650812,0.9569961117325124,0.9705882352941176
